s=energy([0.000 0.000])=26.000
1: energy([0.010 0.000])=25.880
3: energy([0.010 0.010])=25.800
4: energy([0.010 0.020])=25.721
5: energy([0.020 0.020])=25.602
7: energy([0.020 0.030])=25.523
13: energy([0.030 0.030])=25.404
14: energy([0.040 0.030])=25.285
16: energy([0.050 0.030])=25.167
19: energy([0.050 0.040])=25.088
20: energy([0.050 0.050])=25.010
23: energy([0.060 0.050])=24.892
25: energy([0.070 0.050])=24.775
26: energy([0.070 0.060])=24.697
30: energy([0.070 0.070])=24.620
31: energy([0.080 0.070])=24.503
32: energy([0.080 0.080])=24.426
34: energy([0.090 0.080])=24.309
35: energy([0.100 0.080])=24.193
38: energy([0.110 0.080])=24.077
40: energy([0.120 0.080])=23.962
41: energy([0.120 0.090])=23.885
43: energy([0.130 0.090])=23.770
46: energy([0.140 0.090])=23.655
47: energy([0.150 0.090])=23.541
48: energy([0.160 0.090])=23.427
50: energy([0.160 0.100])=23.351
52: energy([0.170 0.100])=23.238
53: energy([0.170 0.110])=23.162
56: energy([0.180 0.110])=23.049
57: energy([0.180 0.120])=22.974
58: energy([0.190 0.120])=22.861
59: energy([0.200 0.120])=22.749
60: energy([0.210 0.120])=22.637
61: energy([0.210 0.130])=22.562
62: energy([0.210 0.140])=22.487
63: energy([0.220 0.140])=22.376
64: energy([0.230 0.140])=22.265
68: energy([0.240 0.140])=22.154
69: energy([0.240 0.150])=22.080
70: energy([0.250 0.150])=21.970
72: energy([0.260 0.150])=21.860
73: energy([0.270 0.150])=21.751
75: energy([0.280 0.150])=21.642
79: energy([0.280 0.160])=21.568
81: energy([0.290 0.160])=21.459
82: energy([0.290 0.170])=21.386
83: energy([0.290 0.180])=21.313
84: energy([0.300 0.180])=21.205
88: energy([0.300 0.190])=21.132
89: energy([0.300 0.200])=21.060
90: energy([0.300 0.210])=20.988
93: energy([0.310 0.210])=20.880
95: energy([0.310 0.220])=20.809
100: energy([0.320 0.220])=20.702
101: energy([0.330 0.220])=20.595
104: energy([0.330 0.230])=20.524
106: energy([0.330 0.240])=20.453
107: energy([0.340 0.240])=20.346
108: energy([0.350 0.240])=20.240
115: energy([0.350 0.250])=20.170
116: energy([0.360 0.250])=20.064
117: energy([0.360 0.260])=19.994
120: energy([0.370 0.260])=19.889
122: energy([0.380 0.260])=19.784
124: energy([0.390 0.260])=19.679
126: energy([0.390 0.270])=19.610
127: energy([0.400 0.270])=19.506
128: energy([0.400 0.280])=19.437
131: energy([0.410 0.280])=19.333
134: energy([0.420 0.280])=19.230
139: energy([0.420 0.290])=19.161
140: energy([0.420 0.300])=19.093
142: energy([0.420 0.310])=19.025
147: energy([0.420 0.320])=18.958
149: energy([0.430 0.320])=18.855
151: energy([0.440 0.320])=18.752
152: energy([0.440 0.330])=18.685
155: energy([0.450 0.330])=18.583
156: energy([0.460 0.330])=18.481
157: energy([0.460 0.340])=18.414
160: energy([0.460 0.350])=18.348
161: energy([0.470 0.350])=18.247
163: energy([0.480 0.350])=18.146
167: energy([0.490 0.350])=18.045
168: energy([0.500 0.350])=17.945
169: energy([0.510 0.350])=17.845
173: energy([0.510 0.360])=17.779
174: energy([0.510 0.370])=17.714
