開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］

-eco	性
-ega	非常
-ema	趨向於
-ido	小
-ino	母，雌
-seksa	性
-u	應該
a.KE	公元前，西元前
abdomenaj muskoloj	腹肌
abdomeno	腹部，腹
abelejo	養蜂場
abelisto	養蜂人，養蜂家
abelkulturo	養蜂學，養蜂
abelo	蜜蜂
abelujo	蜂窩
abelvakso	蜂蠟
abiarbo	杉樹，杉
abio	杉樹，杉
abismo inter la generacioj	代溝
ablativa kazo	奪格
ablativo	奪格
aboco	字母表
abrikotarbo	杏樹
absinto	苦艾，歐洲艾
absoluta	絕對
absolute ne	決不
abstrakta	抽象
aĉa	爛
acerarbo	楓樹，楓
acero	楓，楓樹
aĉetanto	客戶
aĉeti	買
acida	酸
acida gusto	酸味
adampomo	喉結
adaptiĝi	適應
adiaŭ	再見，再會，別了
adiaŭa	離別的，告別的
adiaŭi	告別
adiaŭo	離別，告別
adjektiva finiĝo	形容詞詞尾
adjektivo	形容詞
administra	行政
administranto	經理
administri	管理
admiri	佩服
adori	崇拜，禮拜
adrenalino	腎上腺素
adreso	地址
adverbo	副詞
advokato	律師
aerarmeo	空軍
aerlinio	航空公司
aero	空氣
aerpoluo	空氣污染
aerpoŝto	航空郵件
afabla	親切
afero	事情
afikso	詞綴
afiŝo	海報
afiŝtabulo	廣告牌，佈告欄
Afrika Unio	非盟，非洲聯盟
Afrodito	阿佛洛狄忒
agado	活動
agema	主動
aglibero	活動的餘地，活動的空間
aglo	老鷹
ago	動作
aĝo	年齡
agrabla	愉快
agrikultura socio	農業社會
agrikulturo	農業
Aĥila tendeno	跟腱
aj!	很痛，很疼，好痛
aĵo	東西
akaciarbo	金合歡樹，金合歡
akacio	金合歡，金合歡樹
akĉento	腔
akcento	重音
akcentsigno	重音符號
akcepti	接受
akcidento	事故
akiri	得到
akra	銳利
akrido	蝗，蝗蟲
akronimo	首字母縮略詞，首字母縮略字
akselo	胳肢窩，腋窩，腋
aktinio	錒
aktiva	主動
aktiva participo	主動分詞
aktiva voĉo	主動語態
aktivo	主動語態
aktoro	演員
akurata	正確
akuzanto	原告
akuzativa kazo	直接受格，受格，賓格
akuzativo	直接受格，受格，賓格
akuzi	指控
akuzito	被告
akvario	水族館
akvero	水滴
akvifolio	冬青
akvo	水
akvofalo	瀑布
akvolilifloro	睡蓮花，睡蓮
akvolilio	睡蓮，睡蓮花
Akvostelo	水星
al	朝向，到，對
Alaho	阿拉，安拉
albordiĝejo	碼頭
albumo	唱片，專輯
aldoni	加上
alergia	過敏
alfabeto	字母表
alfronti	面對
algoj	水藻，藻類
alĝustigi	調整
alia	另一個，不同，另，別的，另一，另外一個
alie	否則，不然
aligatoro	短吻鱷，鱷
alilandano	外國人
alilando	外國
alko	麋鹿，麋
alkoholo	酒精，酒
alkutimiĝi	適應，習慣了，習慣於
allogi	吸引
almenaŭ	至少
almozpetulo	乞丐
almozulo	乞丐
alnarbo	榿，赤楊，榿木，赤楊樹，榿木樹
alno	榿木樹，榿木，赤楊，赤楊樹，榿
alofono	音位變體
aloo	蘆薈
alporti	帶來，帶領，帶去，帶
alta	喬，高，高大
altmaro	高潮
alto	身高
alttajdo	高潮
aluminio	鋁
alveni	到達，達，到
alveni malfrue	姍姍來遲
alveno	到來
amanto	情人
amara	苦
amara gusto	苦味
amarilidfloro	孤挺花
amarilido	孤挺花
ambasadorejo	大使館
ambasadoro	大使
ambaŭ	兩者
ambicia	自負
ambicio	抱負
ambrosifloro	豚草，豬草，豕草
ambrosio	豚草，豬草，豕草
ambulanco	救護車
americio	鎇
amfibio	兩棲動物
ami	愛
amiko	友，朋，朋友
aminda	可愛
Amnestio Internacia	國際特赦組織
amnia fluido	羊水
amnia likvaĵo	羊水
amo	愛情
amorveka	性感
ampolo	電燈泡
amuza	好玩
amuzado	樂趣
amuzaĵo	娛樂
amuzo	樂趣
anagramo	變位詞
analfabeta	不識字
analizi	分析
ananasarbo	鳳梨樹
anaso	鴨，鴨子
anĝelo	天使
angilo	鰻魚，鰻
angioj	血管
anglalingvaj landoj	英語系國家
angulo	角落，角度
Anhujo	皖，安徽
animo	靈魂，心靈
ankaŭ	也
ankoraŭ	還是，依舊，依然，仍然，尚，還，依，猶，猶然，照舊，仍，照樣
ankoraŭ ne	還沒，尚未
ano	成員
anonci	宣佈
anonco	廣告
ansero	鵝
anstataŭ	而非
anstataŭigi	代替
antaŭ	以前，前，之前
antaŭ de la Komuna Erao	公元前
antaŭ la komuna erao 	西元前
antaŭ nelonge	近來，最近
antaŭbrako	前臂
antaŭe	前面，以前
antaŭjuĝo	成見
antaŭmanĝaĵo	主菜
antaŭmendi	預訂
antaŭmolaro	前臼齒
antaŭo posten	前後顛倒，本末倒置
antaŭparolo	前言，序言
antaŭparto de kolo	頸
antaŭplano	前景
antaŭsento	預感
antaŭsigno	前兆，預兆
antaŭtagmeze	上午，早上
antaŭtuko	圍裙
