开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］

-eco	性
-ega	非常
-ema	趋向于
-ido	小
-ino	母，雌
-seksa	性
-u	应该
a.KE	公元前，西元前
abdomenaj muskoloj	腹肌
abdomeno	腹部，腹
abelejo	养蜂场
abelisto	养蜂人，养蜂家
abelkulturo	养蜂学，养蜂
abelo	蜜蜂
abelujo	蜂窝
abelvakso	蜂蜡
abiarbo	杉树，杉
abio	杉树，杉
abismo inter la generacioj	代沟
ablativa kazo	夺格
ablativo	夺格
aboco	字母表
abrikotarbo	杏树
absinto	苦艾，欧洲艾
absoluta	绝对
absolute ne	决不
abstrakta	抽象
aĉa	烂
acerarbo	枫树，枫
acero	枫，枫树
aĉetanto	客户
aĉeti	买
acida	酸
acida gusto	酸味
adampomo	喉结
adaptiĝi	适应
adiaŭ	再见，再会，别了
adiaŭa	离别的，告别的
adiaŭi	告别
adiaŭo	离别，告别
adjektiva finiĝo	形容词词尾
adjektivo	形容词
administra	行政
administranto	经理
administri	管理
admiri	佩服
adori	崇拜，礼拜
adrenalino	肾上腺素
adreso	地址
adverbo	副词
advokato	律师
aerarmeo	空军
aerlinio	航空公司
aero	空气
aerpoluo	空气污染
aerpoŝto	航空邮件
afabla	亲切
afero	事情
afikso	词缀
afiŝo	海报
afiŝtabulo	广告牌，布告栏
Afrika Unio	非盟，非洲联盟
Afrodito	阿佛洛狄忒
agado	活动
agema	主动
aglibero	活动的余地，活动的空间
aglo	老鹰
ago	动作
aĝo	年龄
agrabla	愉快
agrikultura socio	农业社会
agrikulturo	农业
Aĥila tendeno	跟腱
aj!	很痛，很疼，好痛
aĵo	东西
akaciarbo	金合欢树，金合欢
akacio	金合欢，金合欢树
akĉento	腔
akcento	重音
akcentsigno	重音符号
akcepti	接受
akcidento	事故
akiri	得到
akra	锐利
akrido	蝗，蝗虫
akronimo	首字母缩略词，首字母缩略字
akselo	胳肢窩，腋窝，腋
aktinio	锕
aktiva	主动
aktiva participo	主动分词
aktiva voĉo	主动语态
aktivo	主动语态
aktoro	演员
akurata	正确
akuzanto	原告
akuzativa kazo	直接受格，受格，宾格
akuzativo	直接受格，受格，宾格
akuzi	指控
akuzito	被告
akvario	水族馆
akvero	水滴
akvifolio	冬青
akvo	水
akvofalo	瀑布
akvolilifloro	睡莲花，睡莲
akvolilio	睡莲，睡莲花
Akvostelo	水星
al	朝向，到，对
Alaho	阿拉，安拉
albordiĝejo	码头
albumo	唱片，专辑
aldoni	加上
alergia	过敏
alfabeto	字母表
alfronti	面对
algoj	水藻，藻类
alĝustigi	调整
alia	另一个，不同，另，别的，另一，另外一个
alie	否则，不然
aligatoro	短吻鳄，鳄
alilandano	外国人
alilando	外国
alko	麋鹿，麋
alkoholo	酒精，酒
alkutimiĝi	适应，习惯了，习惯于
allogi	吸引
almenaŭ	至少
almozpetulo	乞丐
almozulo	乞丐
alnarbo	桤，赤杨，桤木，赤杨树，桤木树
alno	桤木树，桤木，赤杨，赤杨树，桤
alofono	音位变体
aloo	芦荟
alporti	带来，带领，带去，带
alta	乔，高，高大
altmaro	高潮
alto	身高
alttajdo	高潮
aluminio	铝
alveni	到达，达，到
alveni malfrue	姗姗来迟
alveno	到来
amanto	情人
amara	苦
amara gusto	苦味
amarilidfloro	孤挺花
amarilido	孤挺花
ambasadorejo	大使馆
ambasadoro	大使
ambaŭ	两者
ambicia	自负
ambicio	抱负
ambrosifloro	豚草，猪草，豕草
ambrosio	豚草，猪草，豕草
ambulanco	救护车
americio	镅
amfibio	两栖动物
ami	爱
amiko	友，朋，朋友
aminda	可爱
Amnestio Internacia	国际特赦组织
amnia fluido	羊水
amnia likvaĵo	羊水
amo	爱情
amorveka	性感
ampolo	电灯泡
amuza	好玩
amuzado	乐趣
amuzaĵo	娱乐
amuzo	乐趣
anagramo	变位词
analfabeta	不识字
analizi	分析
ananasarbo	凤梨树
anaso	鸭，鸭子
anĝelo	天使
angilo	鳗鱼，鳗
angioj	血管
anglalingvaj landoj	英语系国家
angulo	角落，角度
Anhujo	皖，安徽
animo	灵魂，心灵
ankaŭ	也
ankoraŭ	还是，依旧，依然，仍然，尚，还，依，犹，犹然，照旧，仍，照样
ankoraŭ ne	还没，尚未
ano	成员
anonci	宣布
anonco	广告
ansero	鹅
anstataŭ	而非
anstataŭigi	代替
antaŭ	以前，前，之前
antaŭ de la Komuna Erao	公元前
antaŭ la komuna erao 	西元前
antaŭ nelonge	近来，最近
antaŭbrako	前臂
antaŭe	前面，以前
antaŭjuĝo	成见
antaŭmanĝaĵo	主菜
antaŭmendi	预订
antaŭmolaro	前臼齿
antaŭo posten	前后颠倒，本末倒置
antaŭparolo	前言，序言
antaŭparto de kolo	颈
antaŭplano	前景
antaŭsento	预感
antaŭsigno	前兆，预兆
antaŭtagmeze	上午，早上
antaŭtuko	围裙
antaŭurbo	郊区，郊外
antaŭvidi	预见，期待
anteno	天线
antikva	古老
antimatter	反物质
antimono	锑
