开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］

锕	a1	(kem) aktinio; la elemento aktinio (Ac), atomnumero 89
阿波罗	A1 bo1 luo2	Apolono (helena mitologio)
阿波罗	A1 bo1 luo2	Apolono (romia mitologio)
阿尔巴尼亚语	a1 er3 ba1 ni2 ya4 yu3	la albana; la albana lingvo
阿尔忒弥斯	A1 er3 te4 mi3 si1	Artemisa (helena mitologio)
阿福花	a1 fu2 hua1	(pla-sci) asfodelo; asfodelfloro (latine, Asphodelus ramosus)
阿佛洛狄忒	A1 fu2 luo4 di2 te4	Afrodito (helena mitologio)
阿訇	a1 hong1	imamo
阿拉	A1 la1	Alaho
阿拉伯国家联盟	a1 la1 bo2  guo2 jia1  lian2 meng2	Ligo de Arabaj Ŝtatoj; Araba Ligo
阿拉伯联盟	a1 la1 bo2  lian2 meng2	(m-l) Araba Ligo; Ligo de Arabaj Ŝtatoj
阿拉伯话	a1 la1 bo2 hua4	la araba; la araba lingvo; "araba parolo"
阿拉伯文	a1 la1 bo2 wen2	la araba; la araba lingvo; "araba skribo"
阿拉伯语	a1 la1 bo2 yu3	la araba; la araba lingvo
阿盟	a1 meng2	(m-l) Araba Ligo; Ligo de Arabaj Ŝtatoj
阿瑞斯	A1 rui4 si1	Areso (helena mitologio)
锿	ai1	(kem) ejnŝtejnio; la elemento ejnŝtejnio (Es), atomnumero 99
矮牵牛花	ai3 qian1 niu2 hua1	(pla-sci) petunio; petunifloro (latine, Petunia)
矮树	ai3 shu4	(pla-sci) arbedo
矮小	ai3 xiao3	malalta
矮星	ai3 xing1	(ast) nana stelo
艾	ai4	(pla-sci) artemizio; (latine, Artemisia vulgaris)
砹	ai4	(kem) astato; la elemento astato (At), atomnumero 85
爱	ai4	ami
艾草	ai4 cao3	(pla-sci) artemizio; (latine, Artemisia vulgaris)
爱尔兰语	ai4 er3 lan2 yu3	la irlanda; la irlanda lingvo
爱国	ai4 guo2	patriota
爱国主义	ai4 guo2  zhu3 yi4	patriotismo
爱开玩笑	ai4 kai1 wan2 xiao4	ŝercema
爱情	ai4 qing2	amo
爱沙尼亚语	ai4 sha1 ni2 ya4 yu3	la estona; la estona lingvo
鞍	an1	selo
安	an1	paco
安徽	an1 hui1	Anhujo; provinco de Ĉinio
安静	an1 jing4	kvieta
安拉	An1 la1	Alaho
安理会	an1 li3 hui4	(m-l) Sekureca Konsilio; la Sekureca Konsilio de UN
安排	an1 pai2	aranĝi
安全	an1 quan2	sekura; sendanĝera
安全性	an1 quan2 xing4	sekureco; sendanĝereco
安慰	an1 wei4	konsoli
按	an4	laŭ
桉	an4	(pla-sci) eŭkalipto; eŭkaliptarbo (latine, Eucalyptus)
按电钮	an4  dian4 niu3	premi butonon
按摩	an4 mo2	masaĝi
按钮	an4 niu3	premi butonon
桉树	an4 shu4	(pla-sci) eŭkalipto; eŭkaliptarbo (latine, Eucalyptus)
暗物质	an4 wu4 zhi4	(ast) malluma materio
按照	an4 zhao4	laŭ
肮脏	ang1 zang1	malpura
澳	ao4	Makao; mallongiga formo de Makao
奥德修斯	Ao4 de2 xiu1 si1	Odiseo (helena mitologio)
奥林匹克运动会	Ao4 lin2 pi3 ke4  yun4 dong4 hui4	la Olimpiaj ludoj
傲慢	ao4 man4	malmodesta
澳门	ao4 men2	Makao; speciala administra regiono de Ĉinio
奥运	Ao4 yun4	Olimpikoj; la Olimpiaj ludoj
奥运会	Ao4 yun4 hui4	Olimpikoj; la Olimpiaj ludoj
奥运会会旗	Ao4 yun4 hui4  hui4 qi2	la olimpia flago
八	ba1	ok (8)
巴	ba1	aŭtobus
八百	ba1 bai3	okcent (800)
八百万	ba1 bai3 wan4	ok miliono (8 000 000)
八倍	ba1 bei4	okoble
八次	ba1 ci4	okfoje
八点钟	ba1 dian3	la oka horo
八点	ba1 dian3	la oka horo
八分之一	ba1 fen1 zhi1 yi1	okono
疤痕	ba1 hen2	cikatro
疤痕组织	ba1 hen2  zu3 zhi1	(anat) cikatra histo
芭蕉树	ba1 jiao1 shu4	(pla-sci) bananarbo; (latine, Musa acuminata)
巴克斯	Ba1 ke4 si1	Bakko (romia mitologio)
巴黎和会	ba1 li2  he2 hui4	Pariza Packonferenco; (1919 KE)
巴黎和会	ba1 li2  he2 hui4	Pariza Packonferenco; (1946 KE)
巴黎和约	ba1 li2  he2 yue1	Pariza packontrakto; (1973 KE)
巴黎和约	ba1 li2  he2 yue1	Pariza packontrakto; (1919 KE)
巴利语	ba1 li4 yu3	Palio; la palia lingvo
八千	ba1 qian1	ok mil (8 000)
八千万	ba1 qian1 wan4	okdek miliono (80 000 000)
八十	ba1 shi2	okdek (80)
八十八	ba1 shi2 ba1	okdek ok (88)
八十二	ba1 shi2 er4	okdek du (82)
八十九	ba1 shi2 jiu3	okdek naŭ (89)
八十六	ba1 shi2 liu4	okdek ses (86)
八十七	ba1 shi2 qi1	okdek sep (87)
八十三	ba1 shi2 san1	okdek tri (83)
八十四	ba1 shi2 si4	okdek kvar (84)
八十万	ba1 shi2 wan4	okcent mil (800 000)
八十五	ba1 shi2 wu3	okdek kvin (85)
八十一	ba1 shi2 yi1	okdek unu (81)
八十亿	ba1 shi2 yi4	ok miliardo (8 000 000 000)
巴士	ba1 shi4	aŭtobus
巴斯克语	ba1 si1 ke4 yu3	la eŭska; la eŭska lingvo
八万	ba1 wan4	okdek mil (80 000)
巴西红木	ba1 xi1  hong2 mu4	(pla-sci) brazil-arbo; (latine, Caesalpinia echinata)
八仙花	ba1 xian1 hua1	(pla-sci) hortensio; hortensifloro (latine, Hydrangea macrophylla)
八亿	ba1 yi4	okcent miliono (800 000 000)
八月	ba1 yue4	aŭgusto
八月八号	ba1 yue4  ba1  hao4	la oka de aŭgusto
八月八日	ba1 yue4  ba1  ri4	la oka de aŭgusto
八月二号	ba1 yue4  er4  hao4	la dua de aŭgusto
八月二日	ba1 yue4  er4  ri4	la dua de aŭgusto
八月二十号	ba1 yue4  er4 shi2  hao4	la dudeka de aŭgusto
八月二十日	ba1 yue4  er4 shi2  ri4	la dudeka de aŭgusto
八月二十八号	ba1 yue4  er4 shi2 ba1  hao4	la dudek oka de aŭgusto
八月二十八日	ba1 yue4  er4 shi2 ba1  ri4	la dudek oka de aŭgusto
八月二十二号	ba1 yue4  er4 shi2 er4  hao4	la dudek dua de aŭgusto
八月二十二日	ba1 yue4  er4 shi2 er4  ri4	la dudek dua de aŭgusto
八月二十九号	ba1 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de aŭgusto
八月二十九日	ba1 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de aŭgusto
八月二十六号	ba1 yue4  er4 shi2 liu4  hao4	la dudek sesa de aŭgusto
八月二十六日	ba1 yue4  er4 shi2 liu4  ri4	la dudek sesa de aŭgusto
八月二十七号	ba1 yue4  er4 shi2 qi1  hao4	la dudek sepa de aŭgusto
八月二十七日	ba1 yue4  er4 shi2 qi1  ri4	la dudek sepa de aŭgusto
八月二十三号	ba1 yue4  er4 shi2 san1  hao4	la dudek tria de aŭgusto
八月二十三日	ba1 yue4  er4 shi2 san1  ri4	la dudek tria de aŭgusto
八月二十四号	ba1 yue4  er4 shi2 si4  hao4	la dudek kvara de aŭgusto
八月二十四日	ba1 yue4  er4 shi2 si4  ri4	la dudek kvara de aŭgusto
八月二十五号	ba1 yue4  er4 shi2 wu3  hao4	la dudek kvina de aŭgusto
八月二十五日	ba1 yue4  er4 shi2 wu3  ri4	la dudek kvina de aŭgusto
八月二十一号	ba1 yue4  er4 shi2 yi1  hao4	la dudek unua de aŭgusto
八月二十一日	ba1 yue4  er4 shi2 yi1  ri4	la dudek unua de aŭgusto
